Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/ZKMBeanInfo.java,1,0,0,34,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,1,0,0,91,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionMXBean.java,1,0,0,65,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,1,0,0,74,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeMXBean.java,1,0,0,44,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,1,0,0,95,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerMXBean.java,1,0,0,71,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,1,0,0,26,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerMXBean.java,1,0,0,23,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderBean.java,1,0,0,26,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionBean.java,1,0,0,35,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderElectionMXBean.java,1,0,0,32,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LeaderMXBean.java,1,0,0,23,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerBean.java,1,0,0,44,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/LocalPeerMXBean.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumBean.java,1,0,0,35,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerBean.java,1,0,0,39,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/RemotePeerMXBean.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerBean.java,1,0,0,32,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/jmx/server/quorum/ServerMXBean.java,1,0,0,31,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServer.java,1,0,0,110,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,1,1,1,79,9,8,7,7.0,2,7.0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ObservableDataTree.java,1,0,0,103,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ObservableNIOServerCnxn.java,1,0,0,75,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ObservableZooKeeperServer.java,1,0,0,48,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/ZooKeeperObserverNotifier.java,1,0,0,68,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeer.java,1,0,0,202,0,0,0,0,3,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ManagedQuorumPeerMain.java,1,1,1,127,7,6,5,5.0,2,7.0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollower.java,1,0,0,71,0,0,0,0,2,0,false
2,refs/tags/release-3.0.1,src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,1,0,0,47,0,0,0,0,2,0,false
